INFO - 2020/03/07 01:31 -- 0:00:00 - model: TextCNN
                                     data_dir: data/THUCNews/
                                     train_text: train.txt
                                     dev_text: dev.txt
                                     test_text: test.txt
                                     class_name: class.txt
                                     public_pretrain: ../public_pretrained/sgns.sogou.char
                                     pretrain_subset: pretrained_subset.npy
                                     train_reindex: train_index.npy
                                     dev_reindex: dev_index.npy
                                     test_reindex: test_index.npy
                                     num_train: 180000
                                     num_validation: 10000
                                     num_test: 10000
                                     num_class: 10
                                     embedding_dim: 300
                                     hidden_size: 64
                                     dropout: 0.5
                                     seq_length: 32
                                     device: cpu
                                     batch_size: 100
                                     num_epochs: 30
                                     num_patience: 2
                                     lr: 0.001
                                     lr_decay: 0.5
                                     optimizer: Adam
                                     init_method: xavier_normal_
                                     freeze_embed: True
                                     torch_seed: 1
                                     bert: False
                                     bert_pretrain_path: bert_pretrain
INFO - 2020/03/07 01:31 -- 0:00:00 - torch model and log file saved directory:/Users/edward/Documents/中文文本分类torch/Chinese_Text_Classification_practicetrain_result/2020_0307_0131/
INFO - 2020/03/07 01:31 -- 0:00:02 - ------------------------------>Training 0th epoch<------------------------------
INFO - 2020/03/07 01:31 -- 0:00:11 - Iter: 100, train loss: 0.65038, train accuracy: 0.82, val loss: 0.56713, val accuracy: 0.8364
INFO - 2020/03/07 01:31 -- 0:00:20 - Iter: 200, train loss: 0.32974, train accuracy: 0.92, val loss: 0.44704, val accuracy: 0.8636
INFO - 2020/03/07 01:32 -- 0:00:29 - Iter: 300, train loss: 0.54286, train accuracy: 0.8, val loss: 0.39382, val accuracy: 0.8791
INFO - 2020/03/07 01:32 -- 0:00:38 - Iter: 400, train loss: 0.50284, train accuracy: 0.88, val loss: 0.3746, val accuracy: 0.8841
INFO - 2020/03/07 01:32 -- 0:00:47 - Iter: 500, train loss: 0.359, train accuracy: 0.9, val loss: 0.36416, val accuracy: 0.8888
INFO - 2020/03/07 01:32 -- 0:00:57 - Iter: 600, train loss: 0.3927, train accuracy: 0.89, val loss: 0.34842, val accuracy: 0.8913
INFO - 2020/03/07 01:32 -- 0:01:06 - Iter: 700, train loss: 0.37705, train accuracy: 0.9, val loss: 0.33295, val accuracy: 0.8947
INFO - 2020/03/07 01:32 -- 0:01:15 - Iter: 800, train loss: 0.3082, train accuracy: 0.9, val loss: 0.33198, val accuracy: 0.8961
INFO - 2020/03/07 01:33 -- 0:01:25 - Iter: 900, train loss: 0.3795, train accuracy: 0.87, val loss: 0.32409, val accuracy: 0.8986
INFO - 2020/03/07 01:33 -- 0:01:36 - Iter: 1000, train loss: 0.28288, train accuracy: 0.93, val loss: 0.31687, val accuracy: 0.9011
INFO - 2020/03/07 01:33 -- 0:01:46 - Iter: 1100, train loss: 0.3668, train accuracy: 0.9, val loss: 0.31516, val accuracy: 0.9011
INFO - 2020/03/07 01:33 -- 0:01:55 - Iter: 1200, train loss: 0.47211, train accuracy: 0.84, val loss: 0.31044, val accuracy: 0.9033
INFO - 2020/03/07 01:33 -- 0:02:05 - Iter: 1300, train loss: 0.26614, train accuracy: 0.91, val loss: 0.31055, val accuracy: 0.9026
INFO - 2020/03/07 01:33 -- 0:02:15 - Iter: 1400, train loss: 0.27579, train accuracy: 0.93, val loss: 0.30682, val accuracy: 0.9033
INFO - 2020/03/07 01:34 -- 0:02:24 - Iter: 1500, train loss: 0.41392, train accuracy: 0.89, val loss: 0.30981, val accuracy: 0.9026
INFO - 2020/03/07 01:34 -- 0:02:33 - Iter: 1600, train loss: 0.37529, train accuracy: 0.87, val loss: 0.30279, val accuracy: 0.9054
INFO - 2020/03/07 01:34 -- 0:02:43 - Iter: 1700, train loss: 0.44626, train accuracy: 0.89, val loss: 0.29726, val accuracy: 0.9074
INFO - 2020/03/07 01:34 -- 0:02:53 - Iter: 1800, train loss: 0.4164, train accuracy: 0.87, val loss: 0.29626, val accuracy: 0.9069
